time_index	left_time_boundary	right_time_boundary	lambda_00	Ne.high	LeftYears.high	RightYears.high	Left_generations.high	Right_generations.high	Ne.reasonable	LeftYears.reasonable	RightYears.reasonable	Left_generations.reasonable	Right_generations.reasonable	Ne.low	LeftYears.low	RightYears.low	Left_generations.low	Right_generations.low
21	9.584e-05	0.000102801	13807.5	1210.22275010583	32030.0167124149	34356.4038820218	3203.00167124149	3435.64038820218	4189.23259652018	44349.2539094976	47570.405375107	11087.3134773744	11892.6013437768	11694.9409986188	61904.1669153403	66400.3575027535	30952.0834576702	33200.1787513768
22	0.000102801	0.000110159	13285.5	1257.77355930046	34356.4038820218	36815.469647568	3435.64038820218	3681.5469647568	4353.83155142466	47570.405375107	50975.2656658633	11892.6013437768	12743.8164164658	12154.4464143938	66400.3575027535	71152.9749919342	33200.1787513768	35576.4874959671
23	0.000110159	0.000117964	13285.5	1257.77355930046	36815.469647568	39423.9241596756	3681.5469647568	3942.39241596756	4353.83155142466	50975.2656658633	54586.971913397	12743.8164164658	13646.7429783493	12154.4464143938	71152.9749919342	76194.31496245	35576.4874959671	38097.157481225
24	0.000117964	0.000126273	11996.8	1392.88398757054	39423.9241596756	42200.8169900539	3942.39241596756	4220.08169900539	4821.52149543648	54586.971913397	58431.900447767	13646.7429783493	14607.9751119417	13460.0808414268	76194.31496245	81561.194375008	38097.157481225	40780.597187504
25	0.000126273	0.000135155	11996.8	1392.88398757054	42200.8169900539	45169.2081465613	4220.08169900539	4516.92081465613	4821.52149543648	58431.900447767	62541.9805106234	14607.9751119417	15635.4951276558	13460.0808414268	81561.194375008	87298.1811294117	40780.597187504	43649.0905647059
26	0.000135155	0.000144696	9981.07	1674.18429307542	45169.2081465613	48357.8390882678	4516.92081465613	4835.78390882678	5795.25332218413	62541.9805106234	66957.0079683708	15635.4951276558	16739.2519920927	16178.4155244307	87298.1811294117	93460.8236225176	43649.0905647059	46730.4118112588
27	0.000144696	0.000155001	9981.07	1674.18429307542	48357.8390882678	51801.8011314798	4835.78390882678	5180.18011314798	5795.25332218413	66957.0079683708	71725.5707974336	16739.2519920927	17931.3926993584	16178.4155244307	93460.8236225176	100116.942571418	46730.4118112588	50058.4712857088
28	0.000155001	0.000166203	7422.87	2251.17112681298	51801.8011314798	55545.543276852	5180.18011314798	5554.5543276852	7792.515438968	71725.5707974336	76909.2137679489	17931.3926993584	19227.3034419872	21754.1056004523	100116.942571418	107352.444217762	50058.4712857088	53676.222108881
29	0.000166203	0.000178473	7422.87	2251.17112681298	55545.543276852	59646.214239512	5554.5543276852	5964.6214239512	7792.515438968	76909.2137679489	82587.0658700935	19227.3034419872	20646.7664675234	21754.1056004523	107352.444217762	115277.779443672	53676.222108881	57638.889721836
30	0.000178473	0.000192037	4724.11	3537.20608158706	59646.214239512	64179.3439002715	5964.6214239512	6417.93439002715	12244.1748978014	82587.0658700935	88863.7069388375	20646.7664675234	22215.9267347094	34181.6549230288	115277.779443672	124038.924268794	57638.889721836	62019.462134397
31	0.000192037	0.000207201	4724.11	3537.20608158706	64179.3439002715	69247.1983809379	6417.93439002715	6924.71983809379	12244.1748978014	88863.7069388375	95880.7362197601	22215.9267347094	23970.18405494	34181.6549230288	124038.924268794	133833.527640082	62019.462134397	66916.7638200409
32	0.000207201	0.000224392	2449.91	6820.72019873638	69247.1983809379	74992.4823678236	6924.71983809379	7499.24823678235	23610.1853033182	95880.7362197601	103835.744816986	23970.18405494	25958.9362042466	65911.7673050967	133833.527640082	144937.393807043	66916.7638200409	72468.6969035217
33	0.000224392	0.000244237	2449.91	6820.72019873638	74992.4823678236	81624.7411497296	7499.24823678235	8162.47411497296	23610.1853033182	103835.744816986	113018.872361164	25958.9362042466	28254.718090291	65911.7673050967	144937.393807043	157755.509337458	72468.6969035217	78877.754668729
34	0.000244237	0.000267709	994.668	16799.7267651983	81624.7411497296	89469.1542577618	8162.47411497296	8946.91542577617	58152.900341071	113018.872361164	123880.367433824	28254.718090291	30970.091858456	162343.513452156	157755.509337458	172916.346209712	78877.754668729	86458.1731048562
35	0.000267709	0.000296437	994.668	16799.7267651983	89469.1542577618	99070.1383991876	8946.91542577617	9907.01383991876	58152.900341071	123880.367433824	137174.03778349	30970.091858456	34293.5094458726	162343.513452156	172916.346209712	191472.094406122	86458.1731048562	95736.047203061
36	0.000296437	0.000333474	307.044	54422.6580623176	99070.1383991876	111448.015370992	9907.01383991876	11144.8015370992	188386.124061869	137174.03778349	154312.636667527	34293.5094458726	38578.1591668818	525911.26300605	191472.094406122	215394.72201509	95736.047203061	107697.361007545
37	0.000333474	0.000385673	307.044	54422.6580623176	111448.015370992	128893.078417437	11144.8015370992	12889.3078417437	188386.124061869	154312.636667527	178467.339347221	38578.1591668818	44616.8348368052	525911.26300605	215394.72201509	249110.661172162	107697.361007545	124555.330586081
38	0.000385673	0.00047491	136.463	122451.877960225	128893.078417437	158716.3526387	12889.3078417437	15871.63526387	423871.885246934	178467.339347221	219761.103653584	44616.8348368052	54940.275913396	1183309.01298102	249110.661172162	306749.873849794	124555.330586081	153374.936924897
39	0.00047491	Inf	136.463	122451.877960225	158716.3526387	Inf	15871.63526387	Inf	423871.885246934	219761.103653584	Inf	54940.275913396	Inf	1183309.01298102	306749.873849794	Inf	153374.936924897	Inf
