time_index	left_time_boundary	right_time_boundary	lambda_00	Ne.high	LeftYears.high	RightYears.high	Left_generations.high	Right_generations.high	Ne.reasonable	LeftYears.reasonable	RightYears.reasonable	Left_generations.reasonable	Right_generations.reasonable	Ne.low	LeftYears.low	RightYears.low	Left_generations.low	Right_generations.low
23	0.00024906	0.000266706	3164.77	5280.05214346896	83236.602278736	89133.9486362827	8323.6602278736	8913.39486362827	18277.1035735464	115250.68007825	123416.236573314	28812.6700195625	30854.0591433286	51023.5808094836	160870.740942557	172268.496883585	80435.3704712785	86134.2484417923
24	0.000266706	0.000285491	3198.41	5224.51800178409	89133.9486362827	95411.9522250005	8913.39486362827	9541.19522250005	18084.8700061757	123416.236573314	132108.856926924	30854.0591433286	33027.2142317309	50486.9287672404	172268.496883585	184401.946127164	86134.2484417923	92200.9730635821
25	0.000285491	0.000305573	3198.41	5224.51800178409	95411.9522250005	102123.417120855	9541.19522250005	10212.3417120855	18084.8700061757	132108.856926924	141401.65447503	33027.2142317309	35350.4136187576	50486.9287672404	184401.946127164	197373.14270473	92200.9730635821	98686.5713523648
26	0.000305573	0.000327144	3159.13	5289.47862927016	102123.417120855	109332.510302236	10212.3417120855	10933.2510302236	18309.7337167044	141401.65447503	151383.475803095	35350.4136187576	37845.8689507739	51114.6732924664	197373.14270473	211306.101641821	98686.5713523648	105653.05082091
27	0.000327144	0.000350442	3159.13	5289.47862927016	109332.510302236	117118.772086103	10933.2510302236	11711.8772086103	18309.7337167044	151383.475803095	162164.453657681	37845.8689507739	40541.1134144203	51114.6732924664	211306.101641821	226354.54989718	105653.05082091	113177.27494859
28	0.000350442	0.000375768	2993.12	5582.85355150687	117118.772086103	125582.797579202	11711.8772086103	12558.2797579202	19325.2622936776	162164.453657681	173883.873571203	40541.1134144203	43470.9683928007	53949.69056985	226354.54989718	242712.906859804	113177.27494859	121356.453429902
29	0.000375768	0.000403511	2993.12	5582.85355150687	125582.797579202	134854.591753373	12558.2797579202	13485.4591753373	19325.2622936776	173883.873571203	186721.742427747	43470.9683928007	46680.4356069367	53949.69056985	242712.906859804	260632.43213873	121356.453429902	130316.216069365
30	0.000403511	0.000434178	2633.64	6344.88792017369	134854.591753373	145103.595535923	13485.4591753373	14510.3595535923	21963.073569832	186721.742427747	200912.670742048	46680.4356069367	50228.1676855119	61313.5803824477	260632.43213873	280440.602910775	130316.216069365	140220.301455387
31	0.000434178	0.000468461	2633.64	6344.88792017369	145103.595535923	156561.077411463	14510.3595535923	15656.1077411463	21963.073569832	200912.670742048	216776.876415872	50228.1676855119	54194.2191039679	61313.5803824477	280440.602910775	302584.389997154	140220.301455387	151292.194998577
32	0.000468461	0.000507328	2030.37	8230.10122395733	156561.077411463	169550.545896035	15656.1077411463	16955.0545896035	28488.8119290831	216776.876415872	234762.294317587	54194.2191039679	58690.5735793969	79531.2666353568	302584.389997154	327689.035818299	151292.194998577	163844.517909149
33	0.000507328	0.000552197	2030.37	8230.10122395733	169550.545896035	184545.900861283	16955.0545896035	18454.5900861283	28488.8119290831	234762.294317587	255525.093500238	58690.5735793969	63881.2733750596	79531.2666353568	327689.035818299	356670.443010749	163844.517909149	178335.221505374
34	0.000552197	0.000605266	1237.97	13498.0254950332	184545.900861283	202281.720528553	18454.5900861283	20228.1720528553	46723.9344058841	255525.093500238	280082.382270304	63881.2733750596	70020.595567576	130437.650216426	356670.443010749	390948.325252299	178335.221505374	195474.16262615
35	0.000605266	0.000670217	1237.97	13498.0254950332	202281.720528553	223988.540389656	20228.1720528553	22398.8540389656	46723.9344058841	280082.382270304	310137.979001061	70020.595567576	77534.4947502654	130437.650216426	390948.325252299	432900.929022315	195474.16262615	216450.464511157
36	0.000670217	0.000753953	505.104	33082.5941233612	223988.540389656	251973.363839476	22398.8540389656	25197.3363839476	114516.671965481	310137.979001061	348886.196085428	77534.4947502654	87221.549021357	319692.375903635	432900.929022315	486986.98203591	216450.464511157	243493.491017955
37	0.000753953	0.000871972	505.104	33082.5941233612	251973.363839476	291415.669164836	25197.3363839476	29141.5669164836	114516.671965481	348886.196085428	403498.618843619	87221.549021357	100874.654710905	319692.375903635	486986.98203591	563216.822135884	243493.491017955	281608.411067942
38	0.000871972	0.00107373	190.209	87851.5244919339	291415.669164836	358843.800549053	29141.5669164836	35884.3800549053	304101.430933617	403498.618843619	496860.646914074	100874.654710905	124215.161728518	848949.828023014	563216.822135884	693534.652984227	281608.411067942	346767.326492114
39	0.00107373	Inf	190.209	87851.5244919339	358843.800549053	Inf	35884.3800549053	Inf	304101.430933617	496860.646914074	Inf	124215.161728518	Inf	848949.828023014	693534.652984227	Inf	346767.326492114	Inf
